hrg_code,hrg_name,non_elec_cost
HN13G,"Major Hip Procedures for Non-Trauma, 18 years and under, with CC Score 1+",6297
HN13H,"Major Hip Procedures for Non-Trauma, 18 years and under, with CC Score 0",5847
HN14A,"Intermediate Hip Procedures for Non-Trauma, 19 years and over, with CC Score 6+",7870
HN14B,"Intermediate Hip Procedures for Non-Trauma, 19 years and over, with CC Score 4-5",5622
HN14C,"Intermediate Hip Procedures for Non-Trauma, 19 years and over, with CC Score 2-3",4047
HN14D,"Intermediate Hip Procedures for Non-Trauma, 19 years and over, with CC Score 1",3372
HN14E,"Intermediate Hip Procedures for Non-Trauma, 19 years and over, with CC Score 0",2368
HN14F,"Intermediate Hip Procedures for Non-Trauma, between 6 and 18 years, with CC Score 1+",4283
HN14G,"Intermediate Hip Procedures for Non-Trauma, between 6 and 18 years, with CC Score 0",3213
HN14H,"Intermediate Hip Procedures for Non-Trauma, 5 years and under",3248
HN15A,"Minor Hip Procedures for Non-Trauma, 19 years and over",1333
HN15B,"Minor Hip Procedures for Non-Trauma, 18 years and under",1589
HN16A,"Minimal Hip Procedures, 19 years and over",571
HN16B,"Minimal Hip Procedures, between 6 and 18 years",571
HN16C,"Minimal Hip Procedures, 5 years and under",571
HN22A,Very Major Knee Procedures for Non-Trauma with CC Score 8+,10791
HN22B,Very Major Knee Procedures for Non-Trauma with CC Score 6-7,10116
HN22C,Very Major Knee Procedures for Non-Trauma with CC Score 4-5,8028
HN22D,Very Major Knee Procedures for Non-Trauma with CC Score 2-3,7554
HN22E,Very Major Knee Procedures for Non-Trauma with CC Score 0-1,7200
HN23A,"Major Knee Procedures for Non-Trauma, 19 years and over, with CC Score 4+",5059
HN23B,"Major Knee Procedures for Non-Trauma, 19 years and over, with CC Score 2-3",4722
HN23C,"Major Knee Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",4385
HN23D,"Major Knee Procedures for Non-Trauma, 18 years and under, with CC Score 1+",3735
HN23E,"Major Knee Procedures for Non-Trauma, 18 years and under, with CC Score 0",3030
HN24A,"Intermediate Knee Procedures for Non-Trauma, 19 years and over, with CC Score 4+",3260
HN24B,"Intermediate Knee Procedures for Non-Trauma, 19 years and over, with CC Score 2-3",2362
HN24C,"Intermediate Knee Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",2136
HN24D,"Intermediate Knee Procedures for Non-Trauma, between 6 and 18 years, with CC Score 1+",2362
HN24E,"Intermediate Knee Procedures for Non-Trauma, between 6 and 18 years, with CC Score 0",2136
HN24F,"Intermediate Knee Procedures for Non-Trauma, 5 years and under",2136
HN25A,"Minor Knee Procedures for Non-Trauma, 19 years and over",1358
HN25B,"Minor Knee Procedures for Non-Trauma, 18 years and under",1358
HN26A,"Minimal Knee Procedures, 19 years and over",571
HN26B,"Minimal Knee Procedures, between 6 and 18 years",571
HN26C,"Minimal Knee Procedures, 5 years and under",571
HN32A,Very Major Foot Procedures for Non-Trauma with CC Score 4+,7646
HN32B,Very Major Foot Procedures for Non-Trauma with CC Score 2-3,6746
HN32C,Very Major Foot Procedures for Non-Trauma with CC Score 0-1,6297
HN33A,"Major Foot Procedures for Non-Trauma, 19 years and over, with CC Score 4+",5059
HN33B,"Major Foot Procedures for Non-Trauma, 19 years and over, with CC Score 2-3",4498
HN33C,"Major Foot Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",3935
HN33D,"Major Foot Procedures for Non-Trauma, 18 years and under",3935
HN34A,"Intermediate Foot Procedures for Non-Trauma, 19 years and over, with CC Score 4+",3374
HN34B,"Intermediate Foot Procedures for Non-Trauma, 19 years and over, with CC Score 2-3",2561
HN34C,"Intermediate Foot Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",2162
HN34D,"Intermediate Foot Procedures for Non-Trauma, 18 years and under",2162
HN35A,"Minor Foot Procedures for Non-Trauma, 19 years and over",1299
HN35B,"Minor Foot Procedures for Non-Trauma, 18 years and under",1299
HN36Z,Minimal Foot Procedures,571
HN42A,Very Major Hand Procedures for Non-Trauma with CC Score 2+,6297
HN42B,Very Major Hand Procedures for Non-Trauma with CC Score 0-1,6071
HN43A,"Major Hand Procedures for Non-Trauma, 19 years and over, with CC Score 2+",3823
HN43B,"Major Hand Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",3374
HN43C,"Major Hand Procedures for Non-Trauma, 18 years and under",3374
HN44A,"Intermediate Hand Procedures for Non-Trauma, 19 years and over, with CC Score 2+",2586
HN44B,"Intermediate Hand Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",2136
HN44C,"Intermediate Hand Procedures for Non-Trauma, between 6 and 18 years",2136
HN44D,"Intermediate Hand Procedures for Non-Trauma, 5 years and under",2136
HN45A,"Minor Hand Procedures for Non-Trauma, 19 years and over",1299
HN45B,"Minor Hand Procedures for Non-Trauma, between 6 and 18 years",1299
HN45C,"Minor Hand Procedures for Non-Trauma, 5 years and under",1299
HN46Z,Minimal Hand Procedures,571
HN52A,Very Major Shoulder Procedures for Non-Trauma with CC Score 4+,7390
HN52B,Very Major Shoulder Procedures for Non-Trauma with CC Score 2-3,6738
HN52C,Very Major Shoulder Procedures for Non-Trauma with CC Score 0-1,6303
HN53A,Major Shoulder Procedures for Non-Trauma with CC Score 4+,5059
HN53B,Major Shoulder Procedures for Non-Trauma with CC Score 2-3,4722
HN53C,Major Shoulder Procedures for Non-Trauma with CC Score 0-1,4379
HN54A,"Intermediate Shoulder Procedures for Non-Trauma, 19 years and over, with CC Score 4+",3148
HN54B,"Intermediate Shoulder Procedures for Non-Trauma, 19 years and over, with CC Score 2-3",2811
HN54C,"Intermediate Shoulder Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",2722
HN54D,"Intermediate Shoulder Procedures for Non-Trauma, 18 years and under",2238
HN55Z,Minor Shoulder Procedures for Non-Trauma,1299
HN56Z,Minimal Shoulder Procedures,571
HN62A,Very Major Elbow Procedures for Non-Trauma with CC Score 2+,6750
HN62B,Very Major Elbow Procedures for Non-Trauma with CC Score 0-1,6303
HN63A,Major Elbow Procedures for Non-Trauma with CC Score 2+,5059
HN63B,Major Elbow Procedures for Non-Trauma with CC Score 0-1,4498
HN64A,"Intermediate Elbow Procedures for Non-Trauma, 19 years and over, with CC Score 2+",3067
HN64B,"Intermediate Elbow Procedures for Non-Trauma, 19 years and over, with CC Score 0-1",3067
HN64C,"Intermediate Elbow Procedures for Non-Trauma, between 6 and 18 years",3148
HN64D,"Intermediate Elbow Procedures for Non-Trauma, 5 years and under",3148
HN65Z,Minor Elbow Procedures for Non-Trauma,1299
HN66Z,Minimal Elbow Procedures,571
HN80A,"Very Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 9+",27664
HN80B,"Very Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 6-8",19542
HN80C,"Very Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 3-5",15107
HN80D,"Very Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 0-2",11869
HN81A,"Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 9+",20024
HN81B,"Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 6-8",13027
HN81C,"Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 4-5",11040
HN81D,"Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 2-3",10413
HN81E,"Complex, Hip or Knee Procedures for Non-Trauma, with CC Score 0-1",9785
HN85Z,"Very Complex, Foot, Hand, Shoulder or Elbow Procedures for Non-Trauma",9404
HN86A,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Non-Trauma, with CC Score 2+",8770
HN86B,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Non-Trauma, with CC Score 0-1",7646
HN93Z,"Other Muscle, Tendon, Fascia or Ligament Procedures",1712
HT12A,Very Major Hip Procedures for Trauma with CC Score 12+,15163
HT12B,Very Major Hip Procedures for Trauma with CC Score 9-11,11648
HT12C,Very Major Hip Procedures for Trauma with CC Score 6-8,9547
HT12D,Very Major Hip Procedures for Trauma with CC Score 3-5,7790
HT12E,Very Major Hip Procedures for Trauma with CC Score 0-2,7589
HT13A,Major Hip Procedures for Trauma with CC Score 12+,14890
HT13B,Major Hip Procedures for Trauma with CC Score 9-11,10999
HT13C,Major Hip Procedures for Trauma with CC Score 6-8,8418
HT13D,Major Hip Procedures for Trauma with CC Score 3-5,7353
HT13E,Major Hip Procedures for Trauma with CC Score 0-2,5416
HT14A,Intermediate Hip Procedures for Trauma with CC Score 4+,9454
HT14B,Intermediate Hip Procedures for Trauma with CC Score 2-3,5301
HT14C,Intermediate Hip Procedures for Trauma with CC Score 0-1,3662
HT15Z,Minor Hip Procedures for Trauma,1539
HT22A,Very Major Knee Procedures for Trauma with CC Score 4+,13656
HT22B,Very Major Knee Procedures for Trauma with CC Score 2-3,9036
HT22C,Very Major Knee Procedures for Trauma with CC Score 0-1,8430
HT23A,"Major Knee Procedures for Trauma, 19 years and over, with CC Score 4+",8211
HT23B,"Major Knee Procedures for Trauma, 19 years and over, with CC Score 2-3",7245
HT23C,"Major Knee Procedures for Trauma, 19 years and over, with CC Score 1",5417
HT23D,"Major Knee Procedures for Trauma, 19 years and over, with CC Score 0",4433
HT23E,"Major Knee Procedures for Trauma, 18 years and under",4040
HT24A,"Intermediate Knee Procedures for Trauma, 19 years and over, with CC Score 2+",2976
HT24B,"Intermediate Knee Procedures for Trauma, 19 years and over, with CC Score 1",2464
HT24C,"Intermediate Knee Procedures for Trauma, 19 years and over, with CC Score 0",1951
HT24D,"Intermediate Knee Procedures for Trauma, 18 years and under",2652
HT25Z,Minor Knee Procedures for Trauma,1748
HT32A,Very Major Foot Procedures for Trauma with CC Score 4+,6159
HT32B,Very Major Foot Procedures for Trauma with CC Score 2-3,5235
HT32C,Very Major Foot Procedures for Trauma with CC Score 0-1,4620
HT33A,"Major Foot Procedures for Trauma, 19 years and over, with CC Score 4+",4926
HT33B,"Major Foot Procedures for Trauma, 19 years and over, with CC Score 2-3",4208
HT33C,"Major Foot Procedures for Trauma, 19 years and over, with CC Score 1",3696
HT33D,"Major Foot Procedures for Trauma, 19 years and over, with CC Score 0",3181
HT33E,"Major Foot Procedures for Trauma, 18 years and under",3181
HT34A,"Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 4+",3181
HT34B,"Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 2-3",2770
HT34C,"Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 1",2361
HT34D,"Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 0",2231
HT34E,"Intermediate Foot Procedures for Trauma, 18 years and under",2231
HT35Z,Minor Foot Procedures for Trauma,1539
HT42A,Very Major Hand Procedures for Trauma with CC Score 2+,5030
HT42B,Very Major Hand Procedures for Trauma with CC Score 0-1,4413
HT43A,"Major Hand Procedures for Trauma, 19 years and over, with CC Score 4+",3491
HT43B,"Major Hand Procedures for Trauma, 19 years and over, with CC Score 2-3",3286
HT43C,"Major Hand Procedures for Trauma, 19 years and over, with CC Score 0-1",3080
HT43D,"Major Hand Procedures for Trauma, between 6 and 18 years",3080
HT43E,"Major Hand Procedures for Trauma, 5 years and under",3080
HT44A,"Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 4+",2361
HT44B,"Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 2-3",2156
HT44C,"Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 0-1",1951
HT44D,"Intermediate Hand Procedures for Trauma, between 6 and 18 years",1951
HT44E,"Intermediate Hand Procedures for Trauma, 5 years and under",1951
HT45Z,Minor Hand Procedures for Trauma,1748
HT52A,Very Major Shoulder Procedures for Trauma with CC Score 4+,7390
HT52B,Very Major Shoulder Procedures for Trauma with CC Score 2-3,6738
HT52C,Very Major Shoulder Procedures for Trauma with CC Score 0-1,6303
HT53A,"Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 4+",4926
HT53B,"Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 2-3",4310
HT53C,"Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 1",3696
HT53D,"Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 0",3288
HT53E,"Major Shoulder Procedures for Trauma, 18 years and under",3288
HT54A,Intermediate Shoulder Procedures for Trauma with CC Score 4+,3288
HT54B,Intermediate Shoulder Procedures for Trauma with CC Score 2-3,2770
HT54C,Intermediate Shoulder Procedures for Trauma with CC Score 1,2361
HT54D,Intermediate Shoulder Procedures for Trauma with CC Score 0,2228
HT55Z,Minor Shoulder Procedures for Trauma,1539
HT62A,Very Major Elbow Procedures for Trauma with CC Score 2+,6750
HT62B,Very Major Elbow Procedures for Trauma with CC Score 0-1,6303
HT63A,"Major Elbow Procedures for Trauma, 19 years and over, with CC Score 4+",4926
HT63B,"Major Elbow Procedures for Trauma, 19 years and over, with CC Score 2-3",4208
HT63C,"Major Elbow Procedures for Trauma, 19 years and over, with CC Score 1",3696
HT63D,"Major Elbow Procedures for Trauma, 19 years and over, with CC Score 0",3181
HT63E,"Major Elbow Procedures for Trauma, between 6 and 18 years",3181
HT63F,"Major Elbow Procedures for Trauma, 5 years and under",3181
HT64A,"Intermediate Elbow Procedures for Trauma, 19 years and over, with CC Score 1+",2976
HT64B,"Intermediate Elbow Procedures for Trauma, 19 years and over, with CC Score 0",2231
HT64C,"Intermediate Elbow Procedures for Trauma, between 6 and 18 years",2231
HT64D,"Intermediate Elbow Procedures for Trauma, 5 years and under",2231
HT65Z,Minor Elbow Procedures for Trauma,1539
HT81A,"Complex, Hip or Knee Procedures for Trauma, with CC Score 12+",17449
HT81B,"Complex, Hip or Knee Procedures for Trauma, with CC Score 8-11",16217
HT81C,"Complex, Hip or Knee Procedures for Trauma, with CC Score 4-7",12933
HT81D,"Complex, Hip or Knee Procedures for Trauma, with CC Score 0-3",11033
HT86A,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 4+",10180
HT86B,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 2-3",8518
HT86C,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 0-1",7289
JA12D,"Malignant Breast Disorders with Interventions, with CC Score 7+",7878
JA12E,"Malignant Breast Disorders with Interventions, with CC Score 3-6",4228
JA12F,"Malignant Breast Disorders with Interventions, with CC Score 0-2",3697
JA12G,"Malignant Breast Disorders without Interventions, with CC Score 9+",4674
JA12H,"Malignant Breast Disorders without Interventions, with CC Score 6-8",3296
JA12J,"Malignant Breast Disorders without Interventions, with CC Score 4-5",2084
JA12K,"Malignant Breast Disorders without Interventions, with CC Score 2-3",1425
JA12L,"Malignant Breast Disorders without Interventions, with CC Score 0-1",499
JA13A,Non-Malignant Breast Disorders with Interventions,3001
JA13B,"Non-Malignant Breast Disorders without Interventions, with CC Score 4+",1282
JA13C,"Non-Malignant Breast Disorders without Interventions, with CC Score 0-3",476
JA20D,Unilateral Major Breast Procedures with CC Score 6+,7839
JA20E,Unilateral Major Breast Procedures with CC Score 3-5,5166
JA20F,Unilateral Major Breast Procedures with CC Score 0-2,3147
JA21A,Bilateral Major Breast Procedures with CC Score 1+,6715
JA21B,Bilateral Major Breast Procedures with CC Score 0,4834
JA30Z,Unilateral Delayed Pedicled Myocutaneous Breast Reconstruction,5478
JA31Z,Bilateral Delayed Pedicled Myocutaneous Breast Reconstruction,8316
JA32Z,Unilateral Excision of Breast with Immediate Pedicled Myocutaneous Flap Reconstruction,7113
JA33Z,Bilateral Excision of Breast with Immediate Pedicled Myocutaneous Flap Reconstruction,10669
JA34Z,Unilateral Delayed Free Perforator Flap Breast Reconstruction,10476
JA35Z,Bilateral Delayed Free Perforator Flap Breast Reconstruction,15914
JA36Z,Unilateral Excision of Breast with Immediate Free Perforator Flap Reconstruction,12178
JA37Z,Bilateral Excision of Breast with Immediate Free Perforator Flap Reconstruction,18267
JA38A,"Unilateral Major Breast Procedures with Lymph Node Clearance, with CC Score 5+",9765
JA38B,"Unilateral Major Breast Procedures with Lymph Node Clearance, with CC Score 2-4",3840
JA38C,"Unilateral Major Breast Procedures with Lymph Node Clearance, with CC Score 0-1",3598
JA39Z,Bilateral Major Breast Procedures with Lymph Node Clearance,7207
JA40Z,Unilateral Therapeutic Mammoplasty,3844
JA41Z,Bilateral Therapeutic Mammoplasty,4815
JA42Z,Bilateral Intermediate Breast Procedures,2797
JA43A,Unilateral Intermediate Breast Procedures with CC Score 3+,2444
JA43B,Unilateral Intermediate Breast Procedures with CC Score 0-2,1571
JA44Z,Bilateral Minor Breast Procedures,1587
JA45Z,Unilateral Minor Breast Procedures,1163
JC40Z,Very Major Skin Procedures,18518
JC41Z,Major Skin Procedures,11493
JC42C,"Intermediate Skin Procedures, 19 years and over",1065
JC42D,"Intermediate Skin Procedures, 18 years and under",1313
JC43C,"Minor Skin Procedures, 19 years and over",605
JC43D,"Minor Skin Procedures, 18 years and under",1036
JC44Z,Complex Patch Tests,226
JC45A,"Standard Patch Tests, 13 years and over",169
JC45B,"Standard Patch Tests, 12 years and under",169
JC46Z,Photodynamic Therapy,503
JC47Z,Phototherapy or Photochemotherapy,1171
JD07A,"Skin Disorders with Interventions, with CC Score 12+",9622
JD07B,"Skin Disorders with Interventions, with CC Score 8-11",5783
JD07C,"Skin Disorders with Interventions, with CC Score 4-7",4089
JD07D,"Skin Disorders with Interventions, with CC Score 0-3",2782
JD07E,"Skin Disorders without Interventions, with CC Score 19+",7224
JD07F,"Skin Disorders without Interventions, with CC Score 14-18",5129
JD07G,"Skin Disorders without Interventions, with CC Score 10-13",4031
JD07H,"Skin Disorders without Interventions, with CC Score 6-9",3097
JD07J,"Skin Disorders without Interventions, with CC Score 2-5",1418
JD07K,"Skin Disorders without Interventions, with CC Score 0-1",547
KA03C,Parathyroid Procedures with CC Score 2+,8786
KA03D,Parathyroid Procedures with CC Score 0-1,2701
KA04A,Adrenal Procedures with CC Score 2+,11418
KA04B,Adrenal Procedures with CC Score 0-1,10199
KA05C,Anterior Pituitary Disorders with CC Score 2+,3925
KA05D,Anterior Pituitary Disorders with CC Score 0-1,1400
KA06C,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 4+",5771
KA06D,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 2-3",2753
KA06E,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 0-1",1432
KA07A,Non-Surgical Thyroid Disorders with CC Score 4+,4864
KA07B,Non-Surgical Thyroid Disorders with CC Score 2-3,1826
KA07C,Non-Surgical Thyroid Disorders with CC Score 0-1,561
KA08A,Other Endocrine Disorders with CC Score 4+,3336
KA08B,Other Endocrine Disorders with CC Score 2-3,1753
KA08C,Other Endocrine Disorders with CC Score 0-1,798
KA09C,Thyroid Procedures with CC Score 4+,12149
KA09D,Thyroid Procedures with CC Score 2-3,4713
KA09E,Thyroid Procedures with CC Score 0-1,3581
KB01C,"Diabetes with Hypoglycaemic Disorders, with CC Score 8+",3793
KB01D,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7",1849
KB01E,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",1101
KB01F,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2",554
KB02G,"Diabetes with Hyperglycaemic Disorders, with CC Score 8+",4024
KB02H,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",2196
KB02J,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",1351
KB02K,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",908
KB03C,"Diabetes with Lower Limb Complications, with CC Score 9+",6146
KB03D,"Diabetes with Lower Limb Complications, with CC Score 5-8",3806
KB03E,"Diabetes with Lower Limb Complications, with CC Score 0-4",2359
KB04Z,Continuous Subcutaneous Insulin Infusion,2747
KC04A,Inborn Errors of Metabolism with CC Score 3+,3954
KC04B,Inborn Errors of Metabolism with CC Score 0-2,880
KC05G,"Fluid or Electrolyte Disorders, with Interventions, with CC Score 5+",6304
KC05H,"Fluid or Electrolyte Disorders, with Interventions, with CC Score 0-4",3468
KC05J,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+",4243
KC05K,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",2929
KC05L,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",2121
KC05M,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",1370
KC05N,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",637
LA04H,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 12+",9197
LA04J,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 9-11",6237
LA04K,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 6-8",4981
LA04L,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 3-5",3601
LA04M,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 0-2",2626
LA04N,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 13+",7169
LA04P,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",4731
LA04Q,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",2583
LA04R,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",1490
LA04S,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",869
LA05Z,Renal Replacement Peritoneal Dialysis Associated Procedures,1242
LA07H,"Acute Kidney Injury with Interventions, with CC Score 11+",9019
LA07J,"Acute Kidney Injury with Interventions, with CC Score 6-10",6215
LA07K,"Acute Kidney Injury with Interventions, with CC Score 0-5",4462
LA07L,"Acute Kidney Injury without Interventions, with CC Score 12+",6407
LA07M,"Acute Kidney Injury without Interventions, with CC Score 8-11",4317
LA07N,"Acute Kidney Injury without Interventions, with CC Score 4-7",3132
LA07P,"Acute Kidney Injury without Interventions, with CC Score 0-3",2010
LA08G,"Chronic Kidney Disease with Interventions, with CC Score 6+",10171
LA08H,"Chronic Kidney Disease with Interventions, with CC Score 3-5",5924
LA08J,"Chronic Kidney Disease with Interventions, with CC Score 0-2",4515
LA08K,"Chronic Kidney Disease without Interventions, with CC Score 11+",6790
LA08L,"Chronic Kidney Disease without Interventions, with CC Score 8-10",5051
LA08M,"Chronic Kidney Disease without Interventions, with CC Score 5-7",3643
LA08N,"Chronic Kidney Disease without Interventions, with CC Score 3-4",2530
LA08P,"Chronic Kidney Disease without Interventions, with CC Score 0-2",1603
LA09J,"General Renal Disorders with Interventions, with CC Score 6+",8185
LA09K,"General Renal Disorders with Interventions, with CC Score 3-5",4595
LA09L,"General Renal Disorders with Interventions, with CC Score 0-2",3168
LA09M,"General Renal Disorders without Interventions, with CC Score 9+",4607
LA09N,"General Renal Disorders without Interventions, with CC Score 6-8",2732
LA09P,"General Renal Disorders without Interventions, with CC Score 3-5",1741
LA09Q,"General Renal Disorders without Interventions, with CC Score 0-2",942
LA97A,"Same Day Dialysis Admission or Attendance, 19 years and over",0
LA97B,"Same Day Dialysis Admission or Attendance, 18 years and under",-
LB06H,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 9+",8636
LB06J,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 6-8",5152
LB06K,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 4-5",3620
LB06L,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 2-3",3161
LB06M,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 0-1",2586
LB06N,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 13+",6831
LB06P,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 7-12",4578
LB06Q,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 4-6",3329
LB06R,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 2-3",1996
LB06S,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 0-1",1027
LB09C,"Intermediate Endoscopic Ureter Procedures, 18 years and under",2075
LB09D,"Intermediate Endoscopic Ureter Procedures, 19 years and over",1681
LB10B,"Major Open Bladder Procedures or Reconstruction, 18 years and under",10283
LB10C,"Major Open Bladder Procedures or Reconstruction, 19 years and over, with CC Score 2+",9381
LB10D,"Major Open Bladder Procedures or Reconstruction, 19 years and over, with CC Score 0-1",4417
LB12Z,Intermediate Open Bladder Procedures,4385
LB13C,Major Endoscopic Bladder Procedures with CC Score 7+,10236
LB13D,Major Endoscopic Bladder Procedures with CC Score 5-6,5954
LB13E,Major Endoscopic Bladder Procedures with CC Score 2-4,4565
LB13F,Major Endoscopic Bladder Procedures with CC Score 0-1,3409
LB14Z,Intermediate Endoscopic Bladder Procedures,1156
LB15D,"Minor Bladder Procedures, 18 years and under",827
LB15E,"Minor Bladder Procedures, 19 years and over",292
LB16D,"Urinary Incontinence or Other Urinary Problems, with Interventions, with CC Score 7+",4639
LB16E,"Urinary Incontinence or Other Urinary Problems, with Interventions, with CC Score 3-6",2187
LB16F,"Urinary Incontinence or Other Urinary Problems, with Interventions, with CC Score 0-2",1658
LB16G,"Urinary Incontinence or Other Urinary Problems, without Interventions, with CC Score 8+",3229
LB16H,"Urinary Incontinence or Other Urinary Problems, without Interventions, with CC Score 5-7",1661
LB16J,"Urinary Incontinence or Other Urinary Problems, without Interventions, with CC Score 2-4",702
LB16K,"Urinary Incontinence or Other Urinary Problems, without Interventions, with CC Score 0-1",427
LB17Z,Introduction of Therapeutic Substance into Bladder,180
LB18Z,Attention to Suprapubic Bladder Catheter,337
LB19C,"Ureteric or Bladder Disorders, with Interventions, with CC Score 4+",3567
LB19D,"Ureteric or Bladder Disorders, with Interventions, with CC Score 0-3",2325
LB19E,"Ureteric or Bladder Disorders, without Interventions, with CC Score 5+",3514
LB19F,"Ureteric or Bladder Disorders, without Interventions, with CC Score 2-4",1090
LB19G,"Ureteric or Bladder Disorders, without Interventions, with CC Score 0-1",527
LB20C,"Infection or Mechanical Problems Related to Genito-Urinary Prostheses, Implants or Grafts, with Interventions, with CC Score 4+",3911
LB20D,"Infection or Mechanical Problems Related to Genito-Urinary Prostheses, Implants or Grafts, with Interventions, with CC Score 0-3",2158
LB20E,"Infection or Mechanical Problems Related to Genito-Urinary Prostheses, Implants or Grafts, without Interventions, with CC Score 7+",3597
LB20F,"Infection or Mechanical Problems Related to Genito-Urinary Prostheses, Implants or Grafts, without Interventions, with CC Score 2-6",1104
LB20G,"Infection or Mechanical Problems Related to Genito-Urinary Prostheses, Implants or Grafts, without Interventions, with CC Score 0-1",469
LB21A,"Major Open, Prostate or Bladder Neck Procedures (Male), with CC Score 2+",9063
LB21B,"Major Open, Prostate or Bladder Neck Procedures (Male), with CC Score 0-1",5273
LB22Z,"Major Laparoscopic, Prostate or Bladder Neck Procedures (Male)",6739
LB25D,Transurethral Prostate Resection Procedures with CC Score 6+,9520
LB25E,Transurethral Prostate Resection Procedures with CC Score 3-5,3046
LB25F,Transurethral Prostate Resection Procedures with CC Score 0-2,2865
LB26A,"Intermediate Endoscopic, Prostate or Bladder Neck Procedures (Male and Female), with CC Score 2+",5869
LB26B,"Intermediate Endoscopic, Prostate or Bladder Neck Procedures (Male and Female), with CC Score 0-1",1302
LB28C,"Non-Malignant Prostate Disorders with Interventions, with CC Score 4+",2606
LB28D,"Non-Malignant Prostate Disorders with Interventions, with CC Score 0-3",1716
LB28E,"Non-Malignant Prostate Disorders without Interventions, with CC Score 6+",2606
LB28F,"Non-Malignant Prostate Disorders without Interventions, with CC Score 3-5",1495
LB28G,"Non-Malignant Prostate Disorders without Interventions, with CC Score 0-2",783
LB29A,"Major Open Urethra Procedures, 19 years and over",3988
LB29C,"Major Open Urethra Procedures, between 2 and 18 years",2778
LB29D,"Major Open Urethra Procedures, 1 year and under",2846
LB33Z,Vasectomy Procedures,1050
